internalCrashID:ID(Crash),crashID_orig,year,month,dayweek,time,crashType,numberFatalities,busInvolvement,heavyRigidTruckInvolvement,articulatedTruckInvolvement,speedLimit,nationalRoadType,christmasPeriod,easterPeriod,nationalRemotenessAreas,dayOfWeekType,timeOfDay,:LABEL
0,20241115,2024,12,Friday,4:00,Single,1,no,no,no,100,Arterial Road,yes,no,Inner Regional Australia,Weekday,Night,Crash
1,20241125,2024,12,Friday,6:15,Single,1,no,no,no,80,Local Road,no,no,Inner Regional Australia,Weekday,Day,Crash
2,20241002,2024,12,Friday,10:35,Single,1,no,no,no,100,National or State Highway,no,no,Outer Regional Australia,Weekday,Day,Crash
3,20241087,2024,12,Friday,23:00,Single,1,no,no,no,70,National or State Highway,no,no,Major Cities of Australia,Weekend,Night,Crash
4,20241054,2024,12,Friday,23:10,Single,1,no,no,yes,110,National or State Highway,no,no,Inner Regional Australia,Weekend,Night,Crash
5,20241101,2024,12,Monday,10:48,Single,1,no,no,yes,60,National or State Highway,no,no,Major Cities of Australia,Weekday,Day,Crash
6,20241216,2024,12,Monday,12:05,Single,1,no,no,no,60,Collector Road,yes,no,Major Cities of Australia,Weekday,Day,Crash
7,20241300,2024,12,Monday,13:58,Single,1,no,no,no,100,National or State Highway,no,no,Outer Regional Australia,Weekday,Day,Crash
8,20241278,2024,12,Monday,14:43,Single,1,no,no,no,100,Arterial Road,no,no,Outer Regional Australia,Weekday,Day,Crash
9,20241149,2024,12,Monday,16:00,Single,1,no,no,no,40,Collector Road,no,no,Major Cities of Australia,Weekday,Day,Crash
10,20241068,2024,12,Saturday,3:30,Single,1,yes,no,yes,110,National or State Highway,no,no,Outer Regional Australia,Weekend,Night,Crash
11,20241094,2024,12,Saturday,12:10,Single,1,no,no,no,50,National or State Highway,yes,no,Inner Regional Australia,Weekend,Day,Crash
12,20241119,2024,12,Saturday,15:25,Multiple,2,no,no,no,100,Local Road,no,no,Inner Regional Australia,Weekend,Day,Crash
13,20241169,2024,12,Saturday,21:30,Single,1,no,no,no,80,National or State Highway,no,no,Inner Regional Australia,Weekend,Night,Crash
14,20241291,2024,12,Sunday,2:00,Single,1,no,no,yes,110,National or State Highway,no,no,Outer Regional Australia,Weekend,Night,Crash
15,20241077,2024,12,Sunday,8:09,Single,1,no,no,no,50,Collector Road,no,no,Major Cities of Australia,Weekend,Day,Crash
16,20241028,2024,12,Sunday,8:20,Single,1,no,no,no,50,Collector Road,no,no,Major Cities of Australia,Weekend,Day,Crash
17,20241022,2024,12,Sunday,11:20,Single,1,no,no,no,100,Sub-arterial Road,no,no,Outer Regional Australia,Weekend,Day,Crash
18,20241098,2024,12,Sunday,12:50,Single,1,no,no,no,90,Sub-arterial Road,no,no,Inner Regional Australia,Weekend,Day,Crash
19,20241040,2024,12,Sunday,14:15,Single,1,no,no,no,100,National or State Highway,no,no,Outer Regional Australia,Weekend,Day,Crash
20,20241174,2024,12,Sunday,14:48,Single,1,no,no,no,60,Arterial Road,no,no,Major Cities of Australia,Weekend,Day,Crash
21,20241088,2024,12,Sunday,16:00,Single,1,no,no,no,100,Arterial Road,no,no,Outer Regional Australia,Weekend,Day,Crash
22,20241255,2024,12,Sunday,18:20,Single,1,no,no,no,100,Arterial Road,no,no,Inner Regional Australia,Weekend,Night,Crash
23,20241053,2024,12,Sunday,22:19,Multiple,2,no,no,no,100,Arterial Road,no,no,Outer Regional Australia,Weekend,Night,Crash
24,20241080,2024,12,Thursday,1:39,Single,1,no,no,no,60,Arterial Road,no,no,Major Cities of Australia,Weekday,Night,Crash
25,20241274,2024,12,Thursday,15:40,Single,1,no,no,no,100,National or State Highway,no,no,Major Cities of Australia,Weekday,Day,Crash
26,20241181,2024,12,Tuesday,8:30,Single,1,no,no,yes,110,National or State Highway,yes,no,Outer Regional Australia,Weekday,Day,Crash
27,20241194,2024,12,Tuesday,21:10,Single,1,no,yes,yes,80,Arterial Road,no,no,Major Cities of Australia,Weekday,Night,Crash
28,20241139,2024,12,Tuesday,22:55,Single,1,yes,no,no,50,Local Road,no,no,Major Cities of Australia,Weekday,Night,Crash
29,20241197,2024,12,Tuesday,23:55,Single,1,no,no,yes,100,National or State Highway,no,no,Inner Regional Australia,Weekday,Night,Crash
30,20241057,2024,12,Wednesday,12:25,Single,1,no,no,no,110,National or State Highway,no,no,Inner Regional Australia,Weekday,Day,Crash
31,20241166,2024,12,Wednesday,17:00,Single,1,no,no,no,100,Sub-arterial Road,yes,no,Inner Regional Australia,Weekday,Day,Crash
32,20241096,2024,11,Friday,4:44,Single,1,no,no,no,100,National or State Highway,no,no,Outer Regional Australia,Weekday,Night,Crash
33,20241027,2024,11,Friday,10:50,Single,1,no,no,no,100,National or State Highway,no,no,Outer Regional Australia,Weekday,Day,Crash
34,20241163,2024,11,Friday,12:42,Single,1,no,no,no,100,Sub-arterial Road,no,no,Outer Regional Australia,Weekday,Day,Crash
35,20241222,2024,11,Friday,14:30,Single,1,no,no,no,100,National or State Highway,no,no,Major Cities of Australia,Weekday,Day,Crash
36,20241218,2024,11,Friday,17:30,Single,1,no,no,no,110,National or State Highway,no,no,Inner Regional Australia,Weekday,Day,Crash
37,20241306,2024,11,Friday,22:35,Single,1,no,no,no,60,Collector Road,no,no,Major Cities of Australia,Weekend,Night,Crash
38,20241196,2024,11,Monday,11:30,Single,1,no,no,no,60,Sub-arterial Road,no,no,Inner Regional Australia,Weekday,Day,Crash
39,20241106,2024,11,Monday,15:38,Single,1,no,no,no,60,Sub-arterial Road,no,no,Inner Regional Australia,Weekday,Day,Crash
40,20241230,2024,11,Monday,16:30,Single,1,no,no,no,70,Arterial Road,no,no,Major Cities of Australia,Weekday,Day,Crash
41,20241055,2024,11,Monday,17:57,Single,1,no,no,no,50,Local Road,no,no,Major Cities of Australia,Weekday,Day,Crash
42,20241267,2024,11,Monday,20:00,Single,1,no,no,no,50,Local Road,no,no,Inner Regional Australia,Weekday,Night,Crash
43,20241236,2024,11,Saturday,10:00,Single,1,no,no,no,80,Arterial Road,no,no,Inner Regional Australia,Weekend,Day,Crash
44,20241188,2024,11,Saturday,11:10,Single,1,no,no,no,100,National or State Highway,no,no,Inner Regional Australia,Weekend,Day,Crash
45,20241256,2024,11,Saturday,17:20,Multiple,2,no,no,no,100,Arterial Road,no,no,Inner Regional Australia,Weekend,Day,Crash
46,20241107,2024,11,Saturday,23:24,Single,1,no,no,no,100,Arterial Road,no,no,Outer Regional Australia,Weekend,Night,Crash
47,20241173,2024,11,Sunday,3:00,Multiple,2,no,no,yes,110,National or State Highway,no,no,Outer Regional Australia,Weekend,Night,Crash
48,20241004,2024,11,Sunday,6:00,Single,1,no,no,no,50,Local Road,no,no,Major Cities of Australia,Weekend,Day,Crash
49,20241201,2024,11,Sunday,8:10,Single,1,no,no,no,50,Local Road,no,no,Major Cities of Australia,Weekend,Day,Crash
