name:ID(LGA),:LABEL
Wagga Wagga,LGA
Hawkesbury,LGA
Armidale,LGA
Blue Mountains,LGA
Upper Lachlan,LGA
Wollongong,LGA
Penrith,LGA
Upper Hunter,LGA
Mid-Western,LGA
Canterbury-Bankstown,LGA
Greater Hume,LGA
Port Macquarie-Hastings,LGA
Nambucca Valley,LGA
Narromine,LGA
Shellharbour,LGA
Narrabri,LGA
Tenterfield,LGA
Central Coast (NSW),LGA
Tamworth,LGA
Hilltops,LGA
Forbes,LGA
Lake Macquarie,LGA
Blacktown,LGA
Balranald,LGA
Liverpool,LGA
Cumberland,LGA
Muswellbrook,LGA
Ballina,LGA
Kyogle,LGA
Snowy Valleys,LGA
Fairfield,LGA
Yass Valley,LGA
The Hills,LGA
Port Stephens,LGA
Hornsby,LGA
Mid-Coast,LGA
Cabonne,LGA
Moree Plains,LGA
Parramatta,LGA
Queanbeyan-Palerang,LGA
Snowy Monaro,LGA
Federation,LGA
Cowra,LGA
Goulburn Mulwaree,LGA
Willoughby,LGA
Shoalhaven,LGA
Tweed,LGA
Singleton,LGA
Lithgow,LGA
Campbelltown (NSW),LGA
Warrumbungle,LGA
Cessnock,LGA
Cobar,LGA
Bega Valley,LGA
Kiama,LGA
Wollondilly,LGA
Sydney,LGA
Albury,LGA
Maitland,LGA
Clarence Valley,LGA
Lismore,LGA
Narrandera,LGA
Griffith,LGA
Wingecarribee,LGA
Unincorporated NSW,LGA
Glen Innes Severn,LGA
Northern Beaches,LGA
Georges River,LGA
Bathurst,LGA
Inverell,LGA
Dubbo,LGA
Blayney,LGA
Gunnedah,LGA
Ku-ring-gai,LGA
Berrigan,LGA
Warren,LGA
Inner West,LGA
Richmond Valley,LGA
Sutherland,LGA
Newcastle,LGA
Strathfield,LGA
Bayside (NSW),LGA
Coffs Harbour,LGA
Murray River,LGA
Camden,LGA
Randwick,LGA
Hunters Hill,LGA
Parkes,LGA
Byron,LGA
Bellingen,LGA
Edward River,LGA
Ryde,LGA
Hay,LGA
Weddin,LGA
Lachlan,LGA
Waverley,LGA
Gilgandra,LGA
