personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
1,Driver,Male,74,65_to_74,Person
2,Driver,Female,19,17_to_25,Person
4,Driver,Female,32,26_to_39,Person
11,Pedestrian,Male,50,40_to_64,Person
12,Driver,Male,45,40_to_64,Person
15,Driver,Male,25,17_to_25,Person
16,Pedestrian,Male,4,0_to_16,Person
17,Driver,Male,27,26_to_39,Person
19,Driver,Male,27,26_to_39,Person
20,Pedestrian,Female,65,65_to_74,Person
21,Driver,Male,32,26_to_39,Person
26,Motorcycle rider,Male,69,65_to_74,Person
33,Pedal cyclist,Male,61,40_to_64,Person
34,Driver,Female,30,26_to_39,Person
35,Driver,Male,34,26_to_39,Person
36,Driver,Male,26,26_to_39,Person
39,Pedestrian,Female,85,75_or_older,Person
40,Driver,Female,92,75_or_older,Person
41,Driver,Male,76,75_or_older,Person
44,Motorcycle rider,Male,26,26_to_39,Person
47,Motorcycle rider,Male,45,40_to_64,Person
48,Driver,Female,90,75_or_older,Person
49,Driver,Male,32,26_to_39,Person
50,Driver,Male,49,40_to_64,Person
51,Driver,Male,21,17_to_25,Person
52,Passenger,Male,21,17_to_25,Person
55,Driver,Female,21,17_to_25,Person
57,Passenger,Female,80,75_or_older,Person
59,Pedestrian,Female,64,40_to_64,Person
64,Driver,Male,54,40_to_64,Person
65,Motorcycle rider,Male,18,17_to_25,Person
66,Driver,Male,24,17_to_25,Person
69,Passenger,Female,97,75_or_older,Person
71,Driver,Male,49,40_to_64,Person
73,Driver,Male,70,65_to_74,Person
76,Driver,Male,43,40_to_64,Person
77,Motorcycle rider,Male,61,40_to_64,Person
79,Motorcycle rider,Male,22,17_to_25,Person
80,Driver,Male,53,40_to_64,Person
83,Driver,Male,18,17_to_25,Person
86,Motorcycle rider,Male,25,17_to_25,Person
94,Passenger,Male,87,75_or_older,Person
95,Pedestrian,Female,58,40_to_64,Person
96,Driver,Male,45,40_to_64,Person
97,Motorcycle rider,Male,43,40_to_64,Person
102,Motorcycle rider,Male,38,26_to_39,Person
104,Motorcycle rider,Male,47,40_to_64,Person
107,Driver,Female,76,75_or_older,Person
108,Passenger,Male,23,17_to_25,Person
115,Driver,Female,42,40_to_64,Person
119,Passenger,Female,60,40_to_64,Person
120,Driver,Male,57,40_to_64,Person
121,Driver,Male,30,26_to_39,Person
123,Pedestrian,Female,48,40_to_64,Person
124,Motorcycle rider,Female,60,40_to_64,Person
126,Motorcycle rider,Male,66,65_to_74,Person
128,Passenger,Male,19,17_to_25,Person
131,Pedestrian,Male,28,26_to_39,Person
134,Driver,Male,70,65_to_74,Person
135,Pedestrian,Female,31,26_to_39,Person
136,Driver,Male,62,40_to_64,Person
139,Driver,Female,51,40_to_64,Person
140,Driver,Male,37,26_to_39,Person
141,Passenger,Male,66,65_to_74,Person
146,Driver,Male,56,40_to_64,Person
150,Driver,Male,66,65_to_74,Person
151,Pedestrian,Female,21,17_to_25,Person
154,Driver,Female,75,75_or_older,Person
160,Driver,Male,56,40_to_64,Person
163,Motorcycle rider,Male,64,40_to_64,Person
164,Driver,Female,24,17_to_25,Person
165,Driver,Male,27,26_to_39,Person
166,Passenger,Male,37,26_to_39,Person
172,Motorcycle rider,Male,54,40_to_64,Person
174,Passenger,Female,76,75_or_older,Person
176,Motorcycle rider,Female,55,40_to_64,Person
180,Driver,Male,45,40_to_64,Person
181,Passenger,Female,11,0_to_16,Person
183,Driver,Male,63,40_to_64,Person
184,Driver,Male,62,40_to_64,Person
185,Driver,Male,43,40_to_64,Person
194,Driver,Male,46,40_to_64,Person
198,Passenger,Female,74,65_to_74,Person
200,Driver,Male,18,17_to_25,Person
203,Passenger,Male,14,0_to_16,Person
207,Motorcycle rider,Male,27,26_to_39,Person
209,Motorcycle rider,Female,34,26_to_39,Person
215,Motorcycle rider,Male,37,26_to_39,Person
218,Driver,Male,21,17_to_25,Person
219,Driver,Male,30,26_to_39,Person
225,Driver,Male,51,40_to_64,Person
226,Driver,Male,44,40_to_64,Person
228,Driver,Male,77,75_or_older,Person
230,Motorcycle rider,Male,65,65_to_74,Person
236,Driver,Male,49,40_to_64,Person
243,Driver,Male,41,40_to_64,Person
249,Motorcycle rider,Male,15,0_to_16,Person
250,Pedestrian,Male,37,26_to_39,Person
251,Driver,Male,30,26_to_39,Person
254,Driver,Female,52,40_to_64,Person
256,Driver,Male,87,75_or_older,Person
260,Driver,Male,53,40_to_64,Person
261,Motorcycle rider,Male,23,17_to_25,Person
262,Driver,Female,27,26_to_39,Person
263,Driver,Female,65,65_to_74,Person
264,Passenger,Male,19,17_to_25,Person
265,Passenger,Female,57,40_to_64,Person
266,Passenger,Male,18,17_to_25,Person
267,Driver,Male,57,40_to_64,Person
270,Driver,Female,83,75_or_older,Person
273,Driver,Female,44,40_to_64,Person
274,Motorcycle rider,Male,21,17_to_25,Person
278,Driver,Male,53,40_to_64,Person
