:START_ID(Crash),:END_ID(LGA),:TYPE
0,Wagga Wagga,OCCURRED_IN_LGA
1,Hawkesbury,OCCURRED_IN_LGA
2,Armidale,OCCURRED_IN_LGA
3,Blue Mountains,OCCURRED_IN_LGA
4,Upper Lachlan,OCCURRED_IN_LGA
5,Wollongong,OCCURRED_IN_LGA
6,Penrith,OCCURRED_IN_LGA
7,Upper Hunter,OCCURRED_IN_LGA
8,Mid-Western,OCCURRED_IN_LGA
9,Canterbury-Bankstown,OCCURRED_IN_LGA
10,Greater Hume,OCCURRED_IN_LGA
11,Port Macquarie-Hastings,OCCURRED_IN_LGA
12,Armidale,OCCURRED_IN_LGA
13,Nambucca Valley,OCCURRED_IN_LGA
14,Narromine,OCCURRED_IN_LGA
15,Shellharbour,OCCURRED_IN_LGA
16,Wollongong,OCCURRED_IN_LGA
17,Narrabri,OCCURRED_IN_LGA
18,Nambucca Valley,OCCURRED_IN_LGA
19,Tenterfield,OCCURRED_IN_LGA
20,Central Coast (NSW),OCCURRED_IN_LGA
21,Tamworth,OCCURRED_IN_LGA
22,Hilltops,OCCURRED_IN_LGA
23,Forbes,OCCURRED_IN_LGA
24,Lake Macquarie,OCCURRED_IN_LGA
25,Blacktown,OCCURRED_IN_LGA
26,Balranald,OCCURRED_IN_LGA
27,Liverpool,OCCURRED_IN_LGA
28,Cumberland,OCCURRED_IN_LGA
29,Muswellbrook,OCCURRED_IN_LGA
30,Ballina,OCCURRED_IN_LGA
31,Kyogle,OCCURRED_IN_LGA
32,Tenterfield,OCCURRED_IN_LGA
33,Snowy Valleys,OCCURRED_IN_LGA
34,Tamworth,OCCURRED_IN_LGA
35,Fairfield,OCCURRED_IN_LGA
36,Yass Valley,OCCURRED_IN_LGA
37,The Hills,OCCURRED_IN_LGA
38,Port Stephens,OCCURRED_IN_LGA
39,Ballina,OCCURRED_IN_LGA
40,Hornsby,OCCURRED_IN_LGA
41,Central Coast (NSW),OCCURRED_IN_LGA
42,Muswellbrook,OCCURRED_IN_LGA
43,Mid-Coast,OCCURRED_IN_LGA
44,Mid-Coast,OCCURRED_IN_LGA
45,Muswellbrook,OCCURRED_IN_LGA
46,Cabonne,OCCURRED_IN_LGA
47,Moree Plains,OCCURRED_IN_LGA
48,Parramatta,OCCURRED_IN_LGA
49,Queanbeyan-Palerang,OCCURRED_IN_LGA
50,Snowy Monaro,OCCURRED_IN_LGA
51,Wollongong,OCCURRED_IN_LGA
52,Federation,OCCURRED_IN_LGA
53,Blacktown,OCCURRED_IN_LGA
54,Cowra,OCCURRED_IN_LGA
55,Goulburn Mulwaree,OCCURRED_IN_LGA
56,The Hills,OCCURRED_IN_LGA
57,Willoughby,OCCURRED_IN_LGA
58,Shoalhaven,OCCURRED_IN_LGA
59,Queanbeyan-Palerang,OCCURRED_IN_LGA
60,Wollongong,OCCURRED_IN_LGA
61,Tweed,OCCURRED_IN_LGA
62,Mid-Coast,OCCURRED_IN_LGA
63,Hawkesbury,OCCURRED_IN_LGA
64,Singleton,OCCURRED_IN_LGA
65,Wagga Wagga,OCCURRED_IN_LGA
66,Lithgow,OCCURRED_IN_LGA
67,Moree Plains,OCCURRED_IN_LGA
68,Campbelltown (NSW),OCCURRED_IN_LGA
69,Warrumbungle,OCCURRED_IN_LGA
70,Upper Hunter,OCCURRED_IN_LGA
71,Port Stephens,OCCURRED_IN_LGA
72,Mid-Coast,OCCURRED_IN_LGA
73,Central Coast (NSW),OCCURRED_IN_LGA
74,Cabonne,OCCURRED_IN_LGA
75,Blacktown,OCCURRED_IN_LGA
76,Cessnock,OCCURRED_IN_LGA
77,Blue Mountains,OCCURRED_IN_LGA
78,Wollongong,OCCURRED_IN_LGA
79,Cobar,OCCURRED_IN_LGA
80,Campbelltown (NSW),OCCURRED_IN_LGA
81,Bega Valley,OCCURRED_IN_LGA
82,Kiama,OCCURRED_IN_LGA
83,Wollondilly,OCCURRED_IN_LGA
84,Mid-Coast,OCCURRED_IN_LGA
85,Sydney,OCCURRED_IN_LGA
86,Wollongong,OCCURRED_IN_LGA
87,Albury,OCCURRED_IN_LGA
88,Penrith,OCCURRED_IN_LGA
89,Bega Valley,OCCURRED_IN_LGA
90,Cessnock,OCCURRED_IN_LGA
91,Maitland,OCCURRED_IN_LGA
92,Federation,OCCURRED_IN_LGA
93,Clarence Valley,OCCURRED_IN_LGA
94,Penrith,OCCURRED_IN_LGA
95,Central Coast (NSW),OCCURRED_IN_LGA
96,Wollongong,OCCURRED_IN_LGA
97,Central Coast (NSW),OCCURRED_IN_LGA
98,Lismore,OCCURRED_IN_LGA
99,Narromine,OCCURRED_IN_LGA
100,Narrandera,OCCURRED_IN_LGA
101,Cessnock,OCCURRED_IN_LGA
102,Griffith,OCCURRED_IN_LGA
103,Mid-Coast,OCCURRED_IN_LGA
104,Wingecarribee,OCCURRED_IN_LGA
105,Albury,OCCURRED_IN_LGA
106,Tweed,OCCURRED_IN_LGA
107,Moree Plains,OCCURRED_IN_LGA
108,Fairfield,OCCURRED_IN_LGA
109,Mid-Coast,OCCURRED_IN_LGA
