:START_ID(Crash),:END_ID(SA4),:TYPE
0,Riverina,OCCURRED_IN_SA4
1,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
2,New England and North West,OCCURRED_IN_SA4
3,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
4,Capital Region,OCCURRED_IN_SA4
5,Illawarra,OCCURRED_IN_SA4
6,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
7,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
8,Central West,OCCURRED_IN_SA4
9,Sydney - Inner South West,OCCURRED_IN_SA4
10,Murray,OCCURRED_IN_SA4
11,Mid North Coast,OCCURRED_IN_SA4
12,New England and North West,OCCURRED_IN_SA4
13,Mid North Coast,OCCURRED_IN_SA4
14,Far West and Orana,OCCURRED_IN_SA4
15,Illawarra,OCCURRED_IN_SA4
16,Illawarra,OCCURRED_IN_SA4
17,New England and North West,OCCURRED_IN_SA4
18,Mid North Coast,OCCURRED_IN_SA4
19,New England and North West,OCCURRED_IN_SA4
20,Central Coast,OCCURRED_IN_SA4
21,New England and North West,OCCURRED_IN_SA4
22,Capital Region,OCCURRED_IN_SA4
23,Central West,OCCURRED_IN_SA4
24,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
25,Sydney - Blacktown,OCCURRED_IN_SA4
26,Murray,OCCURRED_IN_SA4
27,Sydney - South West,OCCURRED_IN_SA4
28,Sydney - Parramatta,OCCURRED_IN_SA4
29,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
30,Richmond - Tweed,OCCURRED_IN_SA4
31,Richmond - Tweed,OCCURRED_IN_SA4
32,New England and North West,OCCURRED_IN_SA4
33,Riverina,OCCURRED_IN_SA4
34,New England and North West,OCCURRED_IN_SA4
35,Sydney - South West,OCCURRED_IN_SA4
36,Capital Region,OCCURRED_IN_SA4
37,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
38,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
39,Richmond - Tweed,OCCURRED_IN_SA4
40,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
41,Central Coast,OCCURRED_IN_SA4
42,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
43,Mid North Coast,OCCURRED_IN_SA4
44,Mid North Coast,OCCURRED_IN_SA4
45,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
46,Central West,OCCURRED_IN_SA4
47,New England and North West,OCCURRED_IN_SA4
48,Sydney - Parramatta,OCCURRED_IN_SA4
49,Capital Region,OCCURRED_IN_SA4
50,Capital Region,OCCURRED_IN_SA4
51,Illawarra,OCCURRED_IN_SA4
52,Murray,OCCURRED_IN_SA4
53,Sydney - Blacktown,OCCURRED_IN_SA4
54,Central West,OCCURRED_IN_SA4
55,Capital Region,OCCURRED_IN_SA4
56,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
57,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
58,Capital Region,OCCURRED_IN_SA4
59,Capital Region,OCCURRED_IN_SA4
60,Illawarra,OCCURRED_IN_SA4
61,Richmond - Tweed,OCCURRED_IN_SA4
62,Mid North Coast,OCCURRED_IN_SA4
63,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
64,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
65,Riverina,OCCURRED_IN_SA4
66,Central West,OCCURRED_IN_SA4
67,New England and North West,OCCURRED_IN_SA4
68,Sydney - Outer South West,OCCURRED_IN_SA4
69,Far West and Orana,OCCURRED_IN_SA4
70,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
71,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
72,Mid North Coast,OCCURRED_IN_SA4
73,Central Coast,OCCURRED_IN_SA4
74,Central West,OCCURRED_IN_SA4
75,Sydney - Blacktown,OCCURRED_IN_SA4
76,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
