:START_ID(SA4),:END_ID(State),:TYPE
Riverina,NSW,IN_STATE
Sydney - Baulkham Hills and Hawkesbury,NSW,IN_STATE
New England and North West,NSW,IN_STATE
Sydney - Outer West and Blue Mountains,NSW,IN_STATE
Capital Region,NSW,IN_STATE
Illawarra,NSW,IN_STATE
Hunter Valley exc Newcastle,NSW,IN_STATE
Central West,NSW,IN_STATE
Sydney - Inner South West,NSW,IN_STATE
Murray,NSW,IN_STATE
Mid North Coast,NSW,IN_STATE
Far West and Orana,NSW,IN_STATE
Central Coast,NSW,IN_STATE
Newcastle and Lake Macquarie,NSW,IN_STATE
Sydney - Blacktown,NSW,IN_STATE
Sydney - South West,NSW,IN_STATE
Sydney - Parramatta,NSW,IN_STATE
Richmond - Tweed,NSW,IN_STATE
Sydney - North Sydney and Hornsby,NSW,IN_STATE
Sydney - Outer South West,NSW,IN_STATE
Sydney - City and Inner South,NSW,IN_STATE
Coffs Harbour - Grafton,NSW,IN_STATE
Southern Highlands and Shoalhaven,NSW,IN_STATE
Sydney - Northern Beaches,NSW,IN_STATE
Sydney - Inner West,NSW,IN_STATE
Sydney - Sutherland,NSW,IN_STATE
Sydney - Eastern Suburbs,NSW,IN_STATE
Sydney - Ryde,NSW,IN_STATE
