name:ID(SA4),:LABEL
Riverina,SA4
Sydney - Baulkham Hills and Hawkesbury,SA4
New England and North West,SA4
Sydney - Outer West and Blue Mountains,SA4
Capital Region,SA4
Illawarra,SA4
Hunter Valley exc Newcastle,SA4
Central West,SA4
Sydney - Inner South West,SA4
Murray,SA4
Mid North Coast,SA4
Far West and Orana,SA4
Central Coast,SA4
Newcastle and Lake Macquarie,SA4
Sydney - Blacktown,SA4
Sydney - South West,SA4
Sydney - Parramatta,SA4
Richmond - Tweed,SA4
Sydney - North Sydney and Hornsby,SA4
Sydney - Outer South West,SA4
Sydney - City and Inner South,SA4
Coffs Harbour - Grafton,SA4
Southern Highlands and Shoalhaven,SA4
Sydney - Northern Beaches,SA4
Sydney - Inner West,SA4
Sydney - Sutherland,SA4
Sydney - Eastern Suburbs,SA4
Sydney - Ryde,SA4
