:START_ID(Crash),:END_ID(LGA),:TYPE
0,Wagga Wagga,OCCURRED_IN_LGA
1,Hawkesbury,OCCURRED_IN_LGA
2,Northern Midlands,OCCURRED_IN_LGA
3,Armidale,OCCURRED_IN_LGA
4,Lockyer Valley,OCCURRED_IN_LGA
5,Wakefield,OCCURRED_IN_LGA
6,Southern Downs,OCCURRED_IN_LGA
7,Brighton,OCCURRED_IN_LGA
8,West Tamar,OCCURRED_IN_LGA
9,Mid Murray,OCCURRED_IN_LGA
10,Blue Mountains,OCCURRED_IN_LGA
11,Upper Lachlan,OCCURRED_IN_LGA
12,Wattle Range,OCCURRED_IN_LGA
13,Cairns,OCCURRED_IN_LGA
14,Wollongong,OCCURRED_IN_LGA
15,Penrith,OCCURRED_IN_LGA
16,Upper Hunter,OCCURRED_IN_LGA
17,South Burnett,OCCURRED_IN_LGA
18,Mid-Western,OCCURRED_IN_LGA
19,Canterbury-Bankstown,OCCURRED_IN_LGA
20,Greater Hume,OCCURRED_IN_LGA
21,Southern Downs,OCCURRED_IN_LGA
22,Barossa,OCCURRED_IN_LGA
23,Wattle Range,OCCURRED_IN_LGA
24,Port Macquarie-Hastings,OCCURRED_IN_LGA
25,Mackay,OCCURRED_IN_LGA
26,Douglas,OCCURRED_IN_LGA
27,Yankalilla,OCCURRED_IN_LGA
28,Logan,OCCURRED_IN_LGA
29,Dorset,OCCURRED_IN_LGA
30,Armidale,OCCURRED_IN_LGA
31,Nambucca Valley,OCCURRED_IN_LGA
32,Narromine,OCCURRED_IN_LGA
33,Fraser Coast,OCCURRED_IN_LGA
34,Unincorporated SA,OCCURRED_IN_LGA
35,Shellharbour,OCCURRED_IN_LGA
36,Wollongong,OCCURRED_IN_LGA
37,Narrabri,OCCURRED_IN_LGA
38,Logan,OCCURRED_IN_LGA
39,Barossa,OCCURRED_IN_LGA
40,Nambucca Valley,OCCURRED_IN_LGA
41,Cook,OCCURRED_IN_LGA
42,Tenterfield,OCCURRED_IN_LGA
43,Central Coast (NSW),OCCURRED_IN_LGA
44,Tamworth,OCCURRED_IN_LGA
45,Hilltops,OCCURRED_IN_LGA
46,Forbes,OCCURRED_IN_LGA
47,Toowoomba,OCCURRED_IN_LGA
48,Lake Macquarie,OCCURRED_IN_LGA
49,Livingstone,OCCURRED_IN_LGA
50,Blacktown,OCCURRED_IN_LGA
51,Cairns,OCCURRED_IN_LGA
52,Balranald,OCCURRED_IN_LGA
53,Lockhart River,OCCURRED_IN_LGA
54,Light,OCCURRED_IN_LGA
55,Cassowary Coast,OCCURRED_IN_LGA
56,Tumby Bay,OCCURRED_IN_LGA
57,Liverpool,OCCURRED_IN_LGA
58,Cumberland,OCCURRED_IN_LGA
59,Muswellbrook,OCCURRED_IN_LGA
60,Cassowary Coast,OCCURRED_IN_LGA
61,Moreton Bay,OCCURRED_IN_LGA
62,Ballina,OCCURRED_IN_LGA
63,Logan,OCCURRED_IN_LGA
64,Kyogle,OCCURRED_IN_LGA
65,Bundaberg,OCCURRED_IN_LGA
66,Tenterfield,OCCURRED_IN_LGA
67,Melbourne,OCCURRED_IN_LGA
68,Brisbane,OCCURRED_IN_LGA
69,Snowy Valleys,OCCURRED_IN_LGA
70,Tamworth,OCCURRED_IN_LGA
71,Whitsunday,OCCURRED_IN_LGA
72,Fairfield,OCCURRED_IN_LGA
73,Yass Valley,OCCURRED_IN_LGA
74,Central Highlands (Qld),OCCURRED_IN_LGA
75,Bundaberg,OCCURRED_IN_LGA
76,The Hills,OCCURRED_IN_LGA
77,Cairns,OCCURRED_IN_LGA
78,Salisbury,OCCURRED_IN_LGA
79,Port Stephens,OCCURRED_IN_LGA
80,Yankalilla,OCCURRED_IN_LGA
81,Southern Downs,OCCURRED_IN_LGA
82,Macedon Ranges,OCCURRED_IN_LGA
83,Moyne,OCCURRED_IN_LGA
84,Cardinia,OCCURRED_IN_LGA
85,East Gippsland,OCCURRED_IN_LGA
86,Ballina,OCCURRED_IN_LGA
87,Hornsby,OCCURRED_IN_LGA
88,Central Coast (NSW),OCCURRED_IN_LGA
89,Muswellbrook,OCCURRED_IN_LGA
90,Whittlesea,OCCURRED_IN_LGA
91,Macedon Ranges,OCCURRED_IN_LGA
92,Mareeba,OCCURRED_IN_LGA
93,Whittlesea,OCCURRED_IN_LGA
94,Mid-Coast,OCCURRED_IN_LGA
95,Rockhampton,OCCURRED_IN_LGA
96,Mid-Coast,OCCURRED_IN_LGA
97,Ipswich,OCCURRED_IN_LGA
98,Muswellbrook,OCCURRED_IN_LGA
99,Glenelg,OCCURRED_IN_LGA
100,Bundaberg,OCCURRED_IN_LGA
101,Douglas,OCCURRED_IN_LGA
102,Western Downs,OCCURRED_IN_LGA
103,Port Adelaide Enfield,OCCURRED_IN_LGA
104,Brisbane,OCCURRED_IN_LGA
105,Cabonne,OCCURRED_IN_LGA
106,Gold Coast,OCCURRED_IN_LGA
107,Unincorporated ACT,OCCURRED_IN_LGA
108,Frankston,OCCURRED_IN_LGA
109,Moree Plains,OCCURRED_IN_LGA
110,Parramatta,OCCURRED_IN_LGA
