:START_ID(Crash),:END_ID(SA4),:TYPE
0,Riverina,OCCURRED_IN_SA4
1,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
2,Launceston and North East,OCCURRED_IN_SA4
3,New England and North West,OCCURRED_IN_SA4
4,Toowoomba,OCCURRED_IN_SA4
5,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
6,Darling Downs - Maranoa,OCCURRED_IN_SA4
7,Hobart,OCCURRED_IN_SA4
8,Launceston and North East,OCCURRED_IN_SA4
9,South Australia - South East,OCCURRED_IN_SA4
10,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
11,Capital Region,OCCURRED_IN_SA4
12,South Australia - South East,OCCURRED_IN_SA4
13,Cairns,OCCURRED_IN_SA4
14,Illawarra,OCCURRED_IN_SA4
15,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
16,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
17,Wide Bay,OCCURRED_IN_SA4
18,Central West,OCCURRED_IN_SA4
19,Sydney - Inner South West,OCCURRED_IN_SA4
20,Murray,OCCURRED_IN_SA4
21,Darling Downs - Maranoa,OCCURRED_IN_SA4
22,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
23,South Australia - South East,OCCURRED_IN_SA4
24,Mid North Coast,OCCURRED_IN_SA4
25,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
26,Cairns,OCCURRED_IN_SA4
27,South Australia - South East,OCCURRED_IN_SA4
28,Logan - Beaudesert,OCCURRED_IN_SA4
29,Launceston and North East,OCCURRED_IN_SA4
30,New England and North West,OCCURRED_IN_SA4
31,Mid North Coast,OCCURRED_IN_SA4
32,Far West and Orana,OCCURRED_IN_SA4
33,Wide Bay,OCCURRED_IN_SA4
34,South Australia - Outback,OCCURRED_IN_SA4
35,Illawarra,OCCURRED_IN_SA4
36,Illawarra,OCCURRED_IN_SA4
37,New England and North West,OCCURRED_IN_SA4
38,Logan - Beaudesert,OCCURRED_IN_SA4
39,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
40,Mid North Coast,OCCURRED_IN_SA4
41,Queensland - Outback,OCCURRED_IN_SA4
42,New England and North West,OCCURRED_IN_SA4
43,Central Coast,OCCURRED_IN_SA4
44,New England and North West,OCCURRED_IN_SA4
45,Capital Region,OCCURRED_IN_SA4
46,Central West,OCCURRED_IN_SA4
47,Toowoomba,OCCURRED_IN_SA4
48,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
49,Central Queensland,OCCURRED_IN_SA4
50,Sydney - Blacktown,OCCURRED_IN_SA4
51,Cairns,OCCURRED_IN_SA4
52,Murray,OCCURRED_IN_SA4
53,Queensland - Outback,OCCURRED_IN_SA4
54,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
55,Cairns,OCCURRED_IN_SA4
56,South Australia - Outback,OCCURRED_IN_SA4
57,Sydney - South West,OCCURRED_IN_SA4
58,Sydney - Parramatta,OCCURRED_IN_SA4
59,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
60,Cairns,OCCURRED_IN_SA4
61,Moreton Bay - North,OCCURRED_IN_SA4
62,Richmond - Tweed,OCCURRED_IN_SA4
63,Logan - Beaudesert,OCCURRED_IN_SA4
64,Richmond - Tweed,OCCURRED_IN_SA4
65,Wide Bay,OCCURRED_IN_SA4
66,New England and North West,OCCURRED_IN_SA4
67,Melbourne - Inner,OCCURRED_IN_SA4
68,Brisbane - South,OCCURRED_IN_SA4
69,Riverina,OCCURRED_IN_SA4
70,New England and North West,OCCURRED_IN_SA4
71,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
72,Sydney - South West,OCCURRED_IN_SA4
73,Capital Region,OCCURRED_IN_SA4
74,Central Queensland,OCCURRED_IN_SA4
75,Wide Bay,OCCURRED_IN_SA4
76,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
77,Cairns,OCCURRED_IN_SA4
78,Adelaide - North,OCCURRED_IN_SA4
