:START_ID(LGA),:END_ID(SA4),:TYPE
Wagga Wagga,Riverina,PART_OF
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,PART_OF
Northern Midlands,Launceston and North East,PART_OF
Armidale,New England and North West,PART_OF
Lockyer Valley,Toowoomba,PART_OF
Wakefield,Barossa - Yorke - Mid North,PART_OF
Southern Downs,Darling Downs - Maranoa,PART_OF
Brighton,Hobart,PART_OF
West Tamar,Launceston and North East,PART_OF
Mid Murray,South Australia - South East,PART_OF
Blue Mountains,Sydney - Outer West and Blue Mountains,PART_OF
Upper Lachlan,Capital Region,PART_OF
Wattle Range,South Australia - South East,PART_OF
Cairns,Cairns,PART_OF
Wollongong,Illawarra,PART_OF
Penrith,Sydney - Outer West and Blue Mountains,PART_OF
Upper Hunter,Hunter Valley exc Newcastle,PART_OF
South Burnett,Wide Bay,PART_OF
Mid-Western,Central West,PART_OF
Canterbury-Bankstown,Sydney - Inner South West,PART_OF
Greater Hume,Murray,PART_OF
Barossa,Barossa - Yorke - Mid North,PART_OF
Port Macquarie-Hastings,Mid North Coast,PART_OF
Mackay,Mackay - Isaac - Whitsunday,PART_OF
Douglas,Cairns,PART_OF
Yankalilla,South Australia - South East,PART_OF
Logan,Logan - Beaudesert,PART_OF
Dorset,Launceston and North East,PART_OF
Nambucca Valley,Mid North Coast,PART_OF
Narromine,Far West and Orana,PART_OF
Fraser Coast,Wide Bay,PART_OF
Unincorporated SA,South Australia - Outback,PART_OF
Shellharbour,Illawarra,PART_OF
Narrabri,New England and North West,PART_OF
Cook,Queensland - Outback,PART_OF
Tenterfield,New England and North West,PART_OF
Central Coast (NSW),Central Coast,PART_OF
Tamworth,New England and North West,PART_OF
Hilltops,Capital Region,PART_OF
Forbes,Central West,PART_OF
Toowoomba,Toowoomba,PART_OF
Lake Macquarie,Newcastle and Lake Macquarie,PART_OF
Livingstone,Central Queensland,PART_OF
Blacktown,Sydney - Blacktown,PART_OF
Balranald,Murray,PART_OF
Lockhart River,Queensland - Outback,PART_OF
Light,Barossa - Yorke - Mid North,PART_OF
Cassowary Coast,Cairns,PART_OF
Tumby Bay,South Australia - Outback,PART_OF
Liverpool,Sydney - South West,PART_OF
Cumberland,Sydney - Parramatta,PART_OF
Muswellbrook,Hunter Valley exc Newcastle,PART_OF
Moreton Bay,Moreton Bay - North,PART_OF
Ballina,Richmond - Tweed,PART_OF
Kyogle,Richmond - Tweed,PART_OF
Bundaberg,Wide Bay,PART_OF
Melbourne,Melbourne - Inner,PART_OF
Brisbane,Brisbane - South,PART_OF
Snowy Valleys,Riverina,PART_OF
Whitsunday,Mackay - Isaac - Whitsunday,PART_OF
Fairfield,Sydney - South West,PART_OF
Yass Valley,Capital Region,PART_OF
Central Highlands (Qld),Central Queensland,PART_OF
The Hills,Sydney - Baulkham Hills and Hawkesbury,PART_OF
Salisbury,Adelaide - North,PART_OF
Port Stephens,Hunter Valley exc Newcastle,PART_OF
Macedon Ranges,Melbourne - North West,PART_OF
Moyne,Warrnambool and South West,PART_OF
Cardinia,Melbourne - South East,PART_OF
East Gippsland,Latrobe - Gippsland,PART_OF
Hornsby,Sydney - Baulkham Hills and Hawkesbury,PART_OF
