name:ID(LGA),:LABEL
Wagga Wagga,LGA
Hawkesbury,LGA
Northern Midlands,LGA
Armidale,LGA
Lockyer Valley,LGA
Wakefield,LGA
Southern Downs,LGA
Brighton,LGA
West Tamar,LGA
Mid Murray,LGA
Blue Mountains,LGA
Upper Lachlan,LGA
Wattle Range,LGA
Cairns,LGA
Wollongong,LGA
Penrith,LGA
Upper Hunter,LGA
South Burnett,LGA
Mid-Western,LGA
Canterbury-Bankstown,LGA
Greater Hume,LGA
Barossa,LGA
Port Macquarie-Hastings,LGA
Mackay,LGA
Douglas,LGA
Yankalilla,LGA
Logan,LGA
Dorset,LGA
Nambucca Valley,LGA
Narromine,LGA
Fraser Coast,LGA
Unincorporated SA,LGA
Shellharbour,LGA
Narrabri,LGA
Cook,LGA
Tenterfield,LGA
Central Coast (NSW),LGA
Tamworth,LGA
Hilltops,LGA
Forbes,LGA
Toowoomba,LGA
Lake Macquarie,LGA
Livingstone,LGA
Blacktown,LGA
Balranald,LGA
Lockhart River,LGA
Light,LGA
Cassowary Coast,LGA
Tumby Bay,LGA
Liverpool,LGA
Cumberland,LGA
Muswellbrook,LGA
Moreton Bay,LGA
Ballina,LGA
Kyogle,LGA
Bundaberg,LGA
Melbourne,LGA
Brisbane,LGA
Snowy Valleys,LGA
Whitsunday,LGA
Fairfield,LGA
Yass Valley,LGA
Central Highlands (Qld),LGA
The Hills,LGA
Salisbury,LGA
Port Stephens,LGA
Macedon Ranges,LGA
Moyne,LGA
Cardinia,LGA
East Gippsland,LGA
Hornsby,LGA
Whittlesea,LGA
Mareeba,LGA
Mid-Coast,LGA
Rockhampton,LGA
Ipswich,LGA
Glenelg,LGA
Western Downs,LGA
Port Adelaide Enfield,LGA
Cabonne,LGA
Gold Coast,LGA
Unincorporated ACT,LGA
Frankston,LGA
Moree Plains,LGA
Parramatta,LGA
Meander Valley,LGA
Queanbeyan-Palerang,LGA
Snowy Monaro,LGA
Federation,LGA
Brisbane,LGA
Cowra,LGA
Goulburn Mulwaree,LGA
Moreton Bay,LGA
Gympie,LGA
Willoughby,LGA
Shoalhaven,LGA
Greater Bendigo,LGA
Nillumbik,LGA
Tatiara,LGA
Tweed,LGA
Ararat,LGA
Colac Otway,LGA
McKinlay,LGA
Singleton,LGA
Gladstone,LGA
Lithgow,LGA
Campbelltown (NSW),LGA
Sunshine Coast,LGA
Warrumbungle,LGA
Noosa,LGA
Port Stephens,LGA
Gawler,LGA
Alpine,LGA
Brisbane,LGA
Baw Baw,LGA
Isaac,LGA
Maranoa,LGA
Southern Grampians,LGA
Cessnock,LGA
Scenic Rim,LGA
Somerset,LGA
Hinchinbrook,LGA
Playford,LGA
Cobar,LGA
Adelaide Hills,LGA
Bega Valley,LGA
Tea Tree Gully,LGA
Kiama,LGA
Wollondilly,LGA
Scenic Rim,LGA
Casey,LGA
Northern Areas,LGA
Tablelands,LGA
Sydney,LGA
Murrindindi,LGA
Albury,LGA
Boroondara,LGA
Redland,LGA
South Gippsland,LGA
Yarra Ranges,LGA
Surf Coast,LGA
Mount Barker,LGA
Brisbane,LGA
Maitland,LGA
Hobart,LGA
Mitcham,LGA
Clarence Valley,LGA
Adelaide,LGA
Lismore,LGA
Greater Shepparton,LGA
Merri-bek,LGA
Narrandera,LGA
Huon Valley,LGA
Griffith,LGA
Wodonga,LGA
Mid-Coast,LGA
Darebin,LGA
Ballarat,LGA
Wingecarribee,LGA
Maroondah,LGA
North Burnett,LGA
Mornington Peninsula,LGA
Unley,LGA
Alexandrina,LGA
Melton,LGA
Burdekin,LGA
Knox,LGA
Monash,LGA
Unincorporated NSW,LGA
Barcaldine,LGA
Wyndham,LGA
Glen Innes Severn,LGA
Northern Beaches,LGA
Townsville,LGA
Golden Plains,LGA
Clarence,LGA
Georges River,LGA
