personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
1,Driver,Male,74,65_to_74,Person
2,Driver,Female,19,17_to_25,Person
3,Driver,Female,33,26_to_39,Person
4,Driver,Female,32,26_to_39,Person
5,Passenger,Female,61,40_to_64,Person
6,Motorcycle rider,Male,47,40_to_64,Person
7,Passenger,Female,29,26_to_39,Person
8,Motorcycle rider,Male,19,17_to_25,Person
9,Driver,Female,55,40_to_64,Person
10,Driver,Female,45,40_to_64,Person
11,Pedestrian,Male,50,40_to_64,Person
12,Driver,Male,45,40_to_64,Person
13,Driver,Male,61,40_to_64,Person
14,Pedestrian,Male,74,65_to_74,Person
15,Driver,Male,25,17_to_25,Person
16,Pedestrian,Male,4,0_to_16,Person
17,Driver,Male,27,26_to_39,Person
18,Driver,Male,66,65_to_74,Person
19,Driver,Male,27,26_to_39,Person
20,Pedestrian,Female,65,65_to_74,Person
21,Driver,Male,32,26_to_39,Person
22,Driver,Male,25,17_to_25,Person
23,Motorcycle rider,Male,69,65_to_74,Person
24,Driver,Female,59,40_to_64,Person
25,Passenger,Female,68,65_to_74,Person
26,Motorcycle rider,Male,69,65_to_74,Person
27,Passenger,Female,68,65_to_74,Person
28,Driver,Male,76,75_or_older,Person
29,Motorcycle rider,Male,35,26_to_39,Person
30,Motorcycle rider,Male,55,40_to_64,Person
31,Motorcycle rider,Male,63,40_to_64,Person
32,Passenger,Female,66,65_to_74,Person
33,Pedal cyclist,Male,61,40_to_64,Person
34,Driver,Female,30,26_to_39,Person
35,Driver,Male,34,26_to_39,Person
36,Driver,Male,26,26_to_39,Person
37,Motorcycle rider,Male,46,40_to_64,Person
38,Pedestrian,Female,50,40_to_64,Person
39,Pedestrian,Female,85,75_or_older,Person
40,Driver,Female,92,75_or_older,Person
41,Driver,Male,76,75_or_older,Person
42,Motorcycle rider,Male,60,40_to_64,Person
43,Driver,Female,74,65_to_74,Person
44,Motorcycle rider,Male,26,26_to_39,Person
45,Driver,Female,60,40_to_64,Person
46,Passenger,Female,59,40_to_64,Person
47,Motorcycle rider,Male,45,40_to_64,Person
48,Driver,Female,90,75_or_older,Person
49,Driver,Male,32,26_to_39,Person
50,Driver,Male,49,40_to_64,Person
51,Driver,Male,21,17_to_25,Person
52,Passenger,Male,21,17_to_25,Person
53,Driver,Male,16,0_to_16,Person
54,Passenger,Female,22,17_to_25,Person
55,Driver,Female,21,17_to_25,Person
56,Passenger,Male,23,17_to_25,Person
57,Passenger,Female,80,75_or_older,Person
58,Passenger,Male,23,17_to_25,Person
59,Pedestrian,Female,64,40_to_64,Person
60,Driver,Female,17,17_to_25,Person
61,Motorcycle rider,Male,71,65_to_74,Person
62,Driver,Male,66,65_to_74,Person
63,Motorcycle rider,Male,60,40_to_64,Person
64,Driver,Male,54,40_to_64,Person
65,Motorcycle rider,Male,18,17_to_25,Person
66,Driver,Male,24,17_to_25,Person
67,Pedestrian,Male,27,26_to_39,Person
68,Driver,Male,38,26_to_39,Person
69,Passenger,Female,97,75_or_older,Person
70,Driver,Male,83,75_or_older,Person
71,Driver,Male,49,40_to_64,Person
72,Driver,Male,36,26_to_39,Person
73,Driver,Male,70,65_to_74,Person
74,Driver,Female,29,26_to_39,Person
75,Motorcycle rider,Male,26,26_to_39,Person
76,Driver,Male,43,40_to_64,Person
77,Motorcycle rider,Male,61,40_to_64,Person
78,Driver,Male,52,40_to_64,Person
79,Motorcycle rider,Male,22,17_to_25,Person
80,Driver,Male,53,40_to_64,Person
81,Motorcycle rider,Male,44,40_to_64,Person
82,Passenger,Female,57,40_to_64,Person
83,Driver,Male,18,17_to_25,Person
84,Passenger,Male,18,17_to_25,Person
85,Driver,Male,53,40_to_64,Person
86,Motorcycle rider,Male,25,17_to_25,Person
87,Passenger,Female,44,40_to_64,Person
88,Passenger,Female,64,40_to_64,Person
89,Driver,Male,17,17_to_25,Person
90,Pedestrian,Female,43,40_to_64,Person
91,Driver,Female,83,75_or_older,Person
92,Pedal cyclist,Male,71,65_to_74,Person
93,Motorcycle rider,Male,69,65_to_74,Person
94,Passenger,Male,87,75_or_older,Person
95,Pedestrian,Female,58,40_to_64,Person
96,Driver,Male,45,40_to_64,Person
97,Motorcycle rider,Male,43,40_to_64,Person
98,Driver,Male,38,26_to_39,Person
99,Driver,Male,15,0_to_16,Person
100,Driver,Male,27,26_to_39,Person
101,Pedestrian,Male,63,40_to_64,Person
102,Motorcycle rider,Male,38,26_to_39,Person
103,Pedal cyclist,Male,36,26_to_39,Person
104,Motorcycle rider,Male,47,40_to_64,Person
105,Driver,Female,78,75_or_older,Person
106,Driver,Female,19,17_to_25,Person
107,Driver,Female,76,75_or_older,Person
108,Passenger,Male,23,17_to_25,Person
109,Driver,Female,78,75_or_older,Person
110,Passenger,Male,25,17_to_25,Person
111,Pedestrian,Male,29,26_to_39,Person
112,Driver,Male,37,26_to_39,Person
