:START_ID(Crash),:END_ID(LGA),:TYPE
0,Wagga Wagga,OCCURRED_IN
1,Hawkesbury,OCCURRED_IN
2,Northern Midlands,OCCURRED_IN
3,Armidale,OCCURRED_IN
4,Lockyer Valley,OCCURRED_IN
5,Wakefield,OCCURRED_IN
6,Southern Downs,OCCURRED_IN
7,Brighton,OCCURRED_IN
8,West Tamar,OCCURRED_IN
9,Mid Murray,OCCURRED_IN
10,Blue Mountains,OCCURRED_IN
11,Upper Lachlan,OCCURRED_IN
12,Wattle Range,OCCURRED_IN
13,Cairns,OCCURRED_IN
14,Wollongong,OCCURRED_IN
15,Penrith,OCCURRED_IN
16,Upper Hunter,OCCURRED_IN
17,South Burnett,OCCURRED_IN
18,Mid-Western,OCCURRED_IN
19,Canterbury-Bankstown,OCCURRED_IN
20,Greater Hume,OCCURRED_IN
21,Southern Downs,OCCURRED_IN
22,Barossa,OCCURRED_IN
23,Wattle Range,OCCURRED_IN
24,Port Macquarie-Hastings,OCCURRED_IN
25,Mackay,OCCURRED_IN
26,Douglas,OCCURRED_IN
27,Yankalilla,OCCURRED_IN
28,Logan,OCCURRED_IN
29,Dorset,OCCURRED_IN
30,Armidale,OCCURRED_IN
31,Nambucca Valley,OCCURRED_IN
32,Narromine,OCCURRED_IN
33,Fraser Coast,OCCURRED_IN
34,Unincorporated SA,OCCURRED_IN
35,Shellharbour,OCCURRED_IN
36,Wollongong,OCCURRED_IN
37,Narrabri,OCCURRED_IN
38,Logan,OCCURRED_IN
39,Barossa,OCCURRED_IN
40,Nambucca Valley,OCCURRED_IN
41,Cook,OCCURRED_IN
42,Tenterfield,OCCURRED_IN
43,Central Coast (NSW),OCCURRED_IN
44,Tamworth,OCCURRED_IN
45,Hilltops,OCCURRED_IN
46,Forbes,OCCURRED_IN
47,Toowoomba,OCCURRED_IN
48,Lake Macquarie,OCCURRED_IN
49,Livingstone,OCCURRED_IN
50,Blacktown,OCCURRED_IN
51,Cairns,OCCURRED_IN
52,Balranald,OCCURRED_IN
53,Lockhart River,OCCURRED_IN
54,Light,OCCURRED_IN
55,Cassowary Coast,OCCURRED_IN
56,Tumby Bay,OCCURRED_IN
57,Liverpool,OCCURRED_IN
58,Cumberland,OCCURRED_IN
59,Muswellbrook,OCCURRED_IN
60,Cassowary Coast,OCCURRED_IN
61,Moreton Bay,OCCURRED_IN
62,Ballina,OCCURRED_IN
63,Logan,OCCURRED_IN
64,Kyogle,OCCURRED_IN
65,Bundaberg,OCCURRED_IN
66,Tenterfield,OCCURRED_IN
67,Melbourne,OCCURRED_IN
68,Brisbane,OCCURRED_IN
69,Snowy Valleys,OCCURRED_IN
70,Tamworth,OCCURRED_IN
71,Whitsunday,OCCURRED_IN
72,Fairfield,OCCURRED_IN
73,Yass Valley,OCCURRED_IN
74,Central Highlands (Qld),OCCURRED_IN
75,Bundaberg,OCCURRED_IN
76,The Hills,OCCURRED_IN
77,Cairns,OCCURRED_IN
78,Salisbury,OCCURRED_IN
79,Port Stephens,OCCURRED_IN
80,Yankalilla,OCCURRED_IN
81,Southern Downs,OCCURRED_IN
82,Macedon Ranges,OCCURRED_IN
83,Moyne,OCCURRED_IN
84,Cardinia,OCCURRED_IN
85,East Gippsland,OCCURRED_IN
86,Ballina,OCCURRED_IN
87,Hornsby,OCCURRED_IN
88,Central Coast (NSW),OCCURRED_IN
89,Muswellbrook,OCCURRED_IN
90,Whittlesea,OCCURRED_IN
91,Macedon Ranges,OCCURRED_IN
92,Mareeba,OCCURRED_IN
93,Whittlesea,OCCURRED_IN
94,Mid-Coast,OCCURRED_IN
95,Rockhampton,OCCURRED_IN
96,Mid-Coast,OCCURRED_IN
97,Ipswich,OCCURRED_IN
98,Muswellbrook,OCCURRED_IN
99,Glenelg,OCCURRED_IN
100,Bundaberg,OCCURRED_IN
101,Douglas,OCCURRED_IN
102,Western Downs,OCCURRED_IN
103,Port Adelaide Enfield,OCCURRED_IN
104,Brisbane,OCCURRED_IN
105,Cabonne,OCCURRED_IN
106,Gold Coast,OCCURRED_IN
107,Unincorporated ACT,OCCURRED_IN
108,Frankston,OCCURRED_IN
109,Moree Plains,OCCURRED_IN
110,Parramatta,OCCURRED_IN
111,Meander Valley,OCCURRED_IN
112,Queanbeyan-Palerang,OCCURRED_IN
113,Snowy Monaro,OCCURRED_IN
114,Bundaberg,OCCURRED_IN
115,Wollongong,OCCURRED_IN
116,Barossa,OCCURRED_IN
117,Federation,OCCURRED_IN
118,Toowoomba,OCCURRED_IN
119,Brisbane,OCCURRED_IN
120,Blacktown,OCCURRED_IN
121,Southern Downs,OCCURRED_IN
122,Cowra,OCCURRED_IN
123,Goulburn Mulwaree,OCCURRED_IN
124,The Hills,OCCURRED_IN
125,Moreton Bay,OCCURRED_IN
126,Gympie,OCCURRED_IN
127,Willoughby,OCCURRED_IN
128,Shoalhaven,OCCURRED_IN
129,Queanbeyan-Palerang,OCCURRED_IN
130,Greater Bendigo,OCCURRED_IN
131,Nillumbik,OCCURRED_IN
132,Western Downs,OCCURRED_IN
133,Rockhampton,OCCURRED_IN
134,Wollongong,OCCURRED_IN
135,South Burnett,OCCURRED_IN
136,Tatiara,OCCURRED_IN
137,Tweed,OCCURRED_IN
138,Mid-Coast,OCCURRED_IN
139,Ipswich,OCCURRED_IN
140,Ararat,OCCURRED_IN
141,Hawkesbury,OCCURRED_IN
142,Light,OCCURRED_IN
143,Salisbury,OCCURRED_IN
144,Cairns,OCCURRED_IN
145,Colac Otway,OCCURRED_IN
146,McKinlay,OCCURRED_IN
147,Singleton,OCCURRED_IN
148,Gladstone,OCCURRED_IN
149,Wagga Wagga,OCCURRED_IN
150,Lithgow,OCCURRED_IN
151,Moree Plains,OCCURRED_IN
152,Campbelltown (NSW),OCCURRED_IN
153,Moyne,OCCURRED_IN
154,Macedon Ranges,OCCURRED_IN
155,Cairns,OCCURRED_IN
156,Sunshine Coast,OCCURRED_IN
157,Warrumbungle,OCCURRED_IN
158,Whitsunday,OCCURRED_IN
159,Upper Hunter,OCCURRED_IN
160,Noosa,OCCURRED_IN
161,Port Stephens,OCCURRED_IN
162,West Tamar,OCCURRED_IN
163,Unincorporated ACT,OCCURRED_IN
164,Gawler,OCCURRED_IN
165,Mid-Coast,OCCURRED_IN
166,Alpine,OCCURRED_IN
167,Central Coast (NSW),OCCURRED_IN
168,Cabonne,OCCURRED_IN
169,Blacktown,OCCURRED_IN
170,Brisbane,OCCURRED_IN
171,Baw Baw,OCCURRED_IN
172,Isaac,OCCURRED_IN
173,Sunshine Coast,OCCURRED_IN
174,Brisbane,OCCURRED_IN
175,Maranoa,OCCURRED_IN
176,Southern Grampians,OCCURRED_IN
177,Moreton Bay,OCCURRED_IN
178,Cessnock,OCCURRED_IN
179,Scenic Rim,OCCURRED_IN
180,Somerset,OCCURRED_IN
181,Hinchinbrook,OCCURRED_IN
182,Blue Mountains,OCCURRED_IN
183,Scenic Rim,OCCURRED_IN
184,Wollongong,OCCURRED_IN
185,Mackay,OCCURRED_IN
186,Playford,OCCURRED_IN
187,Cobar,OCCURRED_IN
188,South Burnett,OCCURRED_IN
189,Ararat,OCCURRED_IN
190,Somerset,OCCURRED_IN
191,Campbelltown (NSW),OCCURRED_IN
192,Adelaide Hills,OCCURRED_IN
193,Bega Valley,OCCURRED_IN
194,Tea Tree Gully,OCCURRED_IN
