name:ID(SA4),:LABEL
Riverina,SA4
Sydney - Baulkham Hills and Hawkesbury,SA4
Launceston and North East,SA4
New England and North West,SA4
Toowoomba,SA4
Barossa - Yorke - Mid North,SA4
Darling Downs - Maranoa,SA4
Hobart,SA4
South Australia - South East,SA4
Sydney - Outer West and Blue Mountains,SA4
Capital Region,SA4
Cairns,SA4
Illawarra,SA4
Hunter Valley exc Newcastle,SA4
Wide Bay,SA4
Central West,SA4
Sydney - Inner South West,SA4
Murray,SA4
Mid North Coast,SA4
Mackay - Isaac - Whitsunday,SA4
Logan - Beaudesert,SA4
Far West and Orana,SA4
South Australia - Outback,SA4
Queensland - Outback,SA4
Central Coast,SA4
Newcastle and Lake Macquarie,SA4
Central Queensland,SA4
Sydney - Blacktown,SA4
Sydney - South West,SA4
Sydney - Parramatta,SA4
Moreton Bay - North,SA4
Richmond - Tweed,SA4
Melbourne - Inner,SA4
Brisbane - South,SA4
Adelaide - North,SA4
Melbourne - North West,SA4
Warrnambool and South West,SA4
Melbourne - South East,SA4
Latrobe - Gippsland,SA4
Melbourne - North East,SA4
Ipswich,SA4
Adelaide - West,SA4
Gold Coast,SA4
Australian Capital Territory,SA4
Mornington Peninsula,SA4
Brisbane Inner City,SA4
Moreton Bay - South,SA4
Sydney - North Sydney and Hornsby,SA4
Bendigo,SA4
North West,SA4
Sydney - Outer South West,SA4
Sunshine Coast,SA4
Hume,SA4
Townsville,SA4
Adelaide - Central and Hills,SA4
Sydney - City and Inner South,SA4
Melbourne - Inner East,SA4
Brisbane - East,SA4
Melbourne - Outer East,SA4
Geelong,SA4
Adelaide - South,SA4
Coffs Harbour - Grafton,SA4
Shepparton,SA4
South East,SA4
Ballarat,SA4
Southern Highlands and Shoalhaven,SA4
Melbourne - West,SA4
Sydney - Northern Beaches,SA4
West and North West,SA4
Melbourne - Inner South,SA4
Northern Territory - Outback,SA4
Darwin,SA4
Brisbane - North,SA4
Sydney - Inner West,SA4
Sydney - Sutherland,SA4
Sydney - Eastern Suburbs,SA4
Sydney - Ryde,SA4
Brisbane - West,SA4
Western Australia - Wheat Belt,SA4
Perth - South West,SA4
Mandurah,SA4
Western Australia - Outback (North),SA4
Perth - North West,SA4
Perth - Inner,SA4
Perth - South East,SA4
Western Australia - Outback (South),SA4
Bunbury,SA4
Perth - North East,SA4
